idx,id,v1,delta_x,delta_v,a1
6300,19,2.510845993,17.70949623,-0.784938513,-0.004269116
6301,19,2.509028219,17.6312071,-0.782839545,-0.018204347
6302,19,2.505241716,17.55334106,-0.778637259,-0.037866721
6303,19,2.498235052,17.47625437,-0.770885634,-0.070067144
6304,19,2.485766421,17.40055132,-0.757000477,-0.124668009
6305,19,2.464259242,17.32726077,-0.732930113,-0.215079586
6306,19,2.428965664,17.25794497,-0.693240722,-0.35294409
6307,19,2.3756898,17.19468938,-0.632568566,-0.532729142
6308,19,2.304005585,17.13981502,-0.548709727,-0.716828937
6309,19,2.219751093,17.09525825,-0.445523844,-0.842581526
6310,19,2.134061686,17.06186808,-0.333867293,-0.856886273
6311,19,2.0587498,17.03887096,-0.230004111,-0.75310666
6312,19,2.001141765,17.02381539,-0.150620525,-0.576088152
6313,19,1.962107545,17.0133168,-0.10498031,-0.390362197
6314,19,1.937959127,17.00439259,-0.089231668,-0.241480786
6315,19,1.92380606,16.99556359,-0.088274829,-0.141494564
6316,19,1.91577222,16.9871571,-0.084026163,-0.080343492
6317,19,1.911429413,16.98086403,-0.062968014,-0.043472482
6318,19,1.909341086,16.97901016,-0.018583548,-0.020875971
6319,19,1.908560822,16.98388784,0.04879847,-0.007787734
6320,19,1.908273023,16.99709814,0.13212355,-0.002878992
6321,19,1.907668884,17.01902908,0.219295506,-0.006008685
6322,19,1.906085885,17.04881124,0.297801585,-0.015843891
6323,19,1.903076413,17.08480205,0.359930922,-0.030099122
6324,19,1.898208585,17.12529187,0.404937505,-0.048685576
6325,19,1.891472191,17.16894667,0.436531442,-0.067367155
6326,19,1.886528566,17.21455558,0.456116939,-0.049389638
6327,19,1.895758047,17.26009473,0.455419787,0.092281407
6328,19,1.939049281,17.30181157,0.417174437,0.432870145
6329,19,2.029706725,17.33477608,0.329613995,0.906567828
6330,19,2.16094597,17.35483033,0.200474191,1.312402962
6331,19,2.314897846,17.35966379,0.048307913,1.539518253
6332,19,2.479355044,17.34825498,-0.114081937,1.644590278
6333,19,2.648394012,17.32024448,-0.280069921,1.690405276
6334,19,2.817606183,17.27581674,-0.444234211,1.692130525
6335,19,2.983226334,17.21569841,-0.60121714,1.656181005
6336,19,3.14175465,17.14119296,-0.745063375,1.585265863
6337,19,3.28985572,17.05426941,-0.86917594,1.480997487
6338,19,3.424451109,16.95751274,-0.967531284,1.3459749
6339,19,3.543093445,16.85380515,-1.037118139,1.186402857
6340,19,3.644737161,16.74577488,-1.080320997,1.016462755
6341,19,3.731377409,16.63518453,-1.10588398,0.866429083
6342,19,3.811229586,16.52230495,-1.128765293,0.798503975
6343,19,3.894975698,16.40605169,-1.162520989,0.837431116
6344,19,3.979650432,16.28592884,-1.20124522,0.846756337
6345,19,4.04961833,16.16383783,-1.220984481,0.699713886
6346,19,4.097656311,16.04364047,-1.20198468,0.480355915
6347,19,4.127949793,15.93031886,-1.13317773,0.302912612
6348,19,4.146376279,15.82960899,-1.007090402,0.18425876
6349,19,4.157336801,15.74700735,-0.82601861,0.109601328
6350,19,4.163725656,15.68637272,-0.606328548,0.063894144
6351,19,4.167384805,15.64947543,-0.368985753,0.036621485
6352,19,4.169479286,15.63620345,-0.132741342,0.020951417
6353,19,4.170732627,15.64428536,0.080861813,0.012507313
6354,19,4.171572945,15.66907994,0.24794971,0.00838318
6355,19,4.172261248,15.70420067,0.35116266,0.006874721
6356,19,4.173005333,15.74344398,0.392400652,0.007474247
6357,19,4.174064193,15.7832287,0.397932118,0.010627408
6358,19,4.175804619,15.82279022,0.395617823,0.01738256
6359,19,4.178779687,15.86215104,0.393572118,0.029726284
6360,19,4.183906562,15.90106419,0.389097656,0.051288238
6361,19,4.19265259,15.93892812,0.37862263,0.087467389
6362,19,4.207188012,15.97477533,0.358476513,0.145341009
6363,19,4.230207416,16.0076145,0.328363928,0.230211154
6364,19,4.263375627,16.03704946,0.294344648,0.331643806
6365,19,4.304507066,16.06374471,0.266990795,0.411321685
6366,19,4.347193719,16.08922012,0.254758513,0.426869741
6367,19,4.385341932,16.11504683,0.258247125,0.381447226
6368,19,4.418405748,16.1421768,0.271326548,0.330646459
6369,19,4.450939917,16.17104105,0.28868398,0.32536678
6370,19,4.487026767,16.20226692,0.312232059,0.360905608
6371,19,4.526821571,16.23720414,0.349347125,0.397933643
6372,19,4.569311337,16.27758184,0.403712612,0.424903757
6373,19,4.617413579,16.32423426,0.46651542,0.481022421
6374,19,4.680171728,16.37579183,0.51561564,0.627569792
6375,19,4.771539635,16.42808445,0.522950622,0.913684159
6376,19,4.905842015,16.47467504,0.465886458,1.34302921
6377,19,5.089023753,16.50854725,0.338711033,1.831799773
6378,19,5.311286551,16.52433743,0.157928435,2.22267678
6379,19,5.551428758,16.51974674,-0.045889633,2.401398675
6380,19,5.789136804,16.49542438,-0.243225995,2.377051656
6381,19,6.01104229,16.45409353,-0.413361645,2.219078761
6382,19,6.208895672,16.39968615,-0.544034393,1.978544319
6383,19,6.376957428,16.33664171,-0.63043677,1.680589767
6384,19,6.510716102,16.26920796,-0.674341647,1.337593529
6385,19,6.606271561,16.20109775,-0.681046187,0.955591699
6386,19,6.66004789,16.13570378,-0.653988022,0.537729394
6387,19,6.668682571,16.07671918,-0.589844831,0.086330197
